text,token_ids,label
we enjoy that,70 1784 15,1
did we like this ?,73 70 96 49 80,0
was they like this ?,14 45 96 49 80,0
i enjoy it,5552 1784 17,1
they are not enjoy this,45 66 21 1784 49,-1
did we enjoy this ?,73 70 1784 49 80,0
are he love that ?,66 16 194 15 80,0
we like this,70 96 49,1
why were they love ?,305 48 45 194 80,0
they enjoy that,45 1784 15,1
what was you like ?,55 14 24 96 80,0
how do she enjoy ?,110 81 27 1784 80,0
did you enjoy that ?,73 24 1784 15 80,0
we love this,70 194 49,1
did she enjoy it ?,73 27 1784 17 80,0
i was not love that,5552 14 21 194 15,-1
she are not love this,27 66 21 194 49,-1
they enjoy this,45 1784 49,1
you were not love that,24 48 21 194 15,-1
they does not enjoy that,45 312 21 1784 15,-1
did you love this ?,73 24 194 49 80,0
they enjoy this,45 1784 49,1
was she enjoy that ?,14 27 1784 15 80,0
we were not love it,70 48 21 194 17,-1
why are he love ?,305 66 16 194 80,0
she love this,27 194 49,1
you like that,24 96 15,1
why do he love ?,305 81 16 194 80,0
we are not like that,70 66 21 96 15,-1
you did not love that,24 73 21 194 15,-1
i does not like this,5552 312 21 96 49,-1
he does not like this,16 312 21 96 49,-1
he did not enjoy it,16 73 21 1784 17,-1
is he like that ?,34 16 96 15 80,0
why did you enjoy ?,305 73 24 1784 80,0
you love this,24 194 49,1
he love this,16 194 49,1
is i like that ?,34 5552 96 15 80,0
is we like that ?,34 70 96 15 80,0
why is she love ?,305 34 27 194 80,0
i is not like this,5552 34 21 96 49,-1
you like that,24 96 15,1
we enjoy it,70 1784 17,1
how does we love ?,110 312 70 194 80,0
she is not love that,27 34 21 194 15,-1
how was they like ?,110 14 45 96 80,0
did i enjoy this ?,73 5552 1784 49 80,0
are i love that ?,66 5552 194 15 80,0
they like this,45 96 49,1
is you enjoy this ?,34 24 1784 49 80,0
is we like this ?,34 70 96 49 80,0
he was not enjoy it,16 14 21 1784 17,-1
did they enjoy that ?,73 45 1784 15 80,0
are she like this ?,66 27 96 49 80,0
i enjoy this,5552 1784 49,1
does you enjoy this ?,312 24 1784 49 80,0
were we love this ?,48 70 194 49 80,0
he does not enjoy it,16 312 21 1784 17,-1
you love this,24 194 49,1
was i like that ?,14 5552 96 15 80,0
we does not enjoy it,70 312 21 1784 17,-1
what were they like ?,55 48 45 96 80,0
i enjoy it,5552 1784 17,1
she do not love this,27 81 21 194 49,-1
how is he enjoy ?,110 34 16 1784 80,0
what did he enjoy ?,55 73 16 1784 80,0
i like this,5552 96 49,1
i were not like this,5552 48 21 96 49,-1
why does she enjoy ?,305 312 27 1784 80,0
did he enjoy this ?,73 16 1784 49 80,0
she are not like it,27 66 21 96 17,-1
how does we like ?,110 312 70 96 80,0
is he love this ?,34 16 194 49 80,0
she did not enjoy this,27 73 21 1784 49,-1
is you love this ?,34 24 194 49 80,0
how did i enjoy ?,110 73 5552 1784 80,0
why do you like ?,305 81 24 96 80,0
were she like it ?,48 27 96 17 80,0
why did you love ?,305 73 24 194 80,0
she did not like this,27 73 21 96 49,-1
did we love this ?,73 70 194 49 80,0
how did he like ?,110 73 16 96 80,0
i does not like it,5552 312 21 96 17,-1
are he like that ?,66 16 96 15 80,0
we did not like this,70 73 21 96 49,-1
we love it,70 194 17,1
is we love it ?,34 70 194 17 80,0
you love that,24 194 15,1
why did she love ?,305 73 27 194 80,0
they like this,45 96 49,1
we like this,70 96 49,1
he like that,16 96 15,1
he enjoy that,16 1784 15,1
she do not enjoy this,27 81 21 1784 49,-1
you love that,24 194 15,1
did you enjoy that ?,73 24 1784 15 80,0
why were i love ?,305 48 5552 194 80,0
what did she love ?,55 73 27 194 80,0
did i enjoy this ?,73 5552 1784 49 80,0
